Uid,Cart uid,Sku,Name,Qty,Price,DiscountAmount,TaxPercent,ProductType
374,98,sku-Gaming Computer,Gaming Computer,2,1794,0,0.0838,simple
375,99,sku-Netbook,Netbook,1,307.99,0,0.0838,simple
376,100,sku-Computer,Computer,3,1072.47,0,0.0838,simple
377,101,sku-Universal Camera Case,Universal Camera Case,2,82,0,0.0838,simple
378,102,sku-SLR Camera Tripod,SLR Camera Tripod,2,239.98,0,0.0838,simple
379,103,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,212,0,0.0838,simple
380,104,sku-Couch,Couch,3,2690.97,0,0.0838,simple
381,105,sku-Chair,Chair,4,671.16,0,0.0838,simple
382,106,sku-Magento Red Furniture Set,Magento Red Furniture Set,1,1006.99,0,0.0838,simple
383,107,sku-Tablet,Tablet,2,665.98,0,0.0838,simple
384,108,sku-E-book,E-book,4,991.96,0,0.0838,simple
385,109,sku-Mouse,Mouse,2,65.98,0,0.0838,simple
386,110,sku-Phone,Phone,4,2791.96,0,0.0838,simple
387,111,sku-Notebook,Notebook,5,1769.95,0,0.0838,simple
388,112,sku-Gaming Computer,Gaming Computer,3,2694,0,0.0838,simple
389,113,sku-Netbook,Netbook,5,1544.95,0,0.0838,simple
390,114,sku-Computer,Computer,4,1433.96,0,0.0838,simple
391,115,sku-Universal Camera Case,Universal Camera Case,2,84,0,0.0838,simple
392,116,sku-SLR Camera Tripod,SLR Camera Tripod,2,241.98,0,0.0838,simple
393,117,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,214,0,0.0838,simple
394,118,sku-Couch,Couch,3,2693.97,0,0.0838,simple
395,119,sku-Chair,Chair,5,843.95,0,0.0838,simple
396,120,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,5039.95,0,0.0838,simple
397,121,sku-Tablet,Tablet,3,1001.97,0,0.0838,simple
398,122,sku-E-book,E-book,2,497.98,0,0.0838,simple
399,123,sku-Mouse,Mouse,3,101.97,0,0.0838,simple
400,124,sku-Phone,Phone,3,2096.97,0,0.0838,simple
401,125,sku-Notebook,Notebook,4,1419.96,0,0.0838,simple
402,126,sku-Gaming Computer,Gaming Computer,1,899,0,0.0838,simple
403,127,sku-Netbook,Netbook,5,1549.95,0,0.0838,simple
404,128,sku-Computer,Computer,1,359.49,0,0.0838,simple
405,129,sku-Universal Camera Case,Universal Camera Case,3,129,0,0.0838,simple
406,130,sku-SLR Camera Tripod,SLR Camera Tripod,3,365.97,0,0.0838,simple
407,131,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,1,108,0,0.0838,simple
408,132,sku-Couch,Couch,3,2696.97,0,0.0838,simple
409,133,sku-Chair,Chair,4,679.16,0,0.0838,simple
410,134,sku-Magento Red Furniture Set,Magento Red Furniture Set,1,1008.99,0,0.0838,simple
411,135,sku-Tablet,Tablet,5,1674.95,0,0.0838,simple
412,136,sku-E-book,E-book,4,999.96,0,0.0838,simple
413,137,sku-Mouse,Mouse,5,174.95,0,0.0838,simple
414,138,sku-Phone,Phone,5,3499.95,0,0.0838,simple
415,139,sku-Notebook,Notebook,5,1779.95,0,0.0838,simple
416,140,sku-Gaming Computer,Gaming Computer,5,4500,0,0.0838,simple
417,141,sku-Netbook,Netbook,2,621.98,0,0.0838,simple
418,142,sku-Computer,Computer,1,360.49,0,0.0838,simple
419,143,sku-Universal Camera Case,Universal Camera Case,4,176,0,0.0838,simple
420,144,sku-SLR Camera Tripod,SLR Camera Tripod,2,245.98,0,0.0838,simple
421,145,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,545,0,0.0838,simple
422,146,sku-Couch,Couch,2,1799.98,0,0.0838,simple
423,147,sku-Chair,Chair,2,341.58,0,0.0838,simple
424,148,sku-Magento Red Furniture Set,Magento Red Furniture Set,2,2019.98,0,0.0838,simple
425,149,sku-Tablet,Tablet,5,1679.95,0,0.0838,simple
426,150,sku-E-book,E-book,3,752.97,0,0.0838,simple
427,151,sku-Mouse,Mouse,5,179.95,0,0.0838,simple
428,152,sku-Phone,Phone,4,2803.96,0,0.0838,simple
429,153,sku-Notebook,Notebook,1,356.99,0,0.0838,simple
430,154,sku-Gaming Computer,Gaming Computer,5,4505,0,0.0838,simple
431,155,sku-Netbook,Netbook,5,1559.95,0,0.0838,simple
432,156,sku-Computer,Computer,3,1084.47,0,0.0838,simple
433,157,sku-Universal Camera Case,Universal Camera Case,2,90,0,0.0838,simple
434,158,sku-SLR Camera Tripod,SLR Camera Tripod,3,371.97,0,0.0838,simple
435,159,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,550,0,0.0838,simple
436,160,sku-Couch,Couch,3,2702.97,0,0.0838,simple
437,161,sku-Chair,Chair,2,343.58,0,0.0838,simple
438,162,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,3032.97,0,0.0838,simple
439,163,sku-Tablet,Tablet,1,336.99,0,0.0838,simple
440,164,sku-E-book,E-book,2,503.98,0,0.0838,simple
441,165,sku-Mouse,Mouse,1,36.99,0,0.0838,simple
442,166,sku-Phone,Phone,1,701.99,0,0.0838,simple
443,167,sku-Notebook,Notebook,3,1073.97,0,0.0838,simple
444,168,sku-Gaming Computer,Gaming Computer,4,3608,0,0.0838,simple
445,169,sku-Netbook,Netbook,3,938.97,0,0.0838,simple
446,170,sku-Computer,Computer,1,362.49,0,0.0838,simple
447,171,sku-Universal Camera Case,Universal Camera Case,3,138,0,0.0838,simple
448,172,sku-SLR Camera Tripod,SLR Camera Tripod,4,499.96,0,0.0838,simple
449,173,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,222,0,0.0838,simple
450,174,sku-Couch,Couch,5,4509.95,0,0.0838,simple
451,175,sku-Chair,Chair,4,691.16,0,0.0838,simple
452,176,sku-Notebook,Notebook,6,1730.95,0,0.0838,simple
453,177,sku-Gaming Computer,Gaming Computer,3,1781,0,0.0838,simple
454,178,sku-Netbook,Netbook,3,602.98,0,0.0838,simple
455,179,sku-Computer,Computer,3,701.98,0,0.0838,simple
456,180,sku-Universal Camera Case,Universal Camera Case,6,171,0,0.0838,simple
457,181,sku-SLR Camera Tripod,SLR Camera Tripod,4,339.97,0,0.0838,simple
458,182,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,4,298,0,0.0838,simple
459,183,sku-Couch,Couch,5,3560.96,0,0.0838,simple
460,184,sku-Chair,Chair,2,161.79,0,0.0838,simple
461,185,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,4000.96,0,0.0838,simple
462,186,sku-Tablet,Tablet,5,1304.96,0,0.0838,simple
463,187,sku-E-book,E-book,3,482.98,0,0.0838,simple
464,188,sku-Mouse,Mouse,6,130.95,0,0.0838,simple
465,189,sku-Phone,Phone,3,1382.98,0,0.0838,simple
466,190,sku-Notebook,Notebook,4,1041.97,0,0.0838,simple
467,191,sku-Gaming Computer,Gaming Computer,3,1783,0,0.0838,simple
468,192,sku-Netbook,Netbook,4,906.97,0,0.0838,simple
469,193,sku-Computer,Computer,3,703.98,0,0.0838,simple
470,194,sku-Universal Camera Case,Universal Camera Case,3,71,0,0.0838,simple
471,195,sku-SLR Camera Tripod,SLR Camera Tripod,5,456.96,0,0.0838,simple
472,196,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,3,201,0,0.0838,simple
473,197,sku-Couch,Couch,2,891.99,0,0.0838,simple
474,198,sku-Chair,Chair,6,809.95,0,0.0838,simple
475,199,sku-Magento Red Furniture Set,Magento Red Furniture Set,2,1001.99,0,0.0838,simple
476,200,sku-Tablet,Tablet,3,654.98,0,0.0838,simple
477,201,sku-E-book,E-book,5,968.96,0,0.0838,simple
478,202,sku-Mouse,Mouse,5,108.96,0,0.0838,simple
479,203,sku-Phone,Phone,5,2768.96,0,0.0838,simple
480,204,sku-Notebook,Notebook,2,348.99,0,0.0838,simple
481,205,sku-Gaming Computer,Gaming Computer,5,3569,0,0.0838,simple
482,206,sku-Netbook,Netbook,6,1515.95,0,0.0838,simple
483,207,sku-Computer,Computer,4,1058.47,0,0.0838,simple
484,208,sku-Universal Camera Case,Universal Camera Case,3,73,0,0.0838,simple
485,209,sku-SLR Camera Tripod,SLR Camera Tripod,2,115.99,0,0.0838,simple
486,210,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,102,0,0.0838,simple
487,211,sku-Couch,Couch,2,892.99,0,0.0838,simple
488,212,sku-Chair,Chair,4,489.37,0,0.0838,simple
489,213,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,4008.96,0,0.0838,simple
490,214,sku-Tablet,Tablet,6,1640.95,0,0.0838,simple
491,215,sku-E-book,E-book,5,972.96,0,0.0838,simple
492,216,sku-Mouse,Mouse,6,140.95,0,0.0838,simple
493,217,sku-Phone,Phone,6,3465.95,0,0.0838,simple
494,218,sku-Notebook,Notebook,2,349.99,0,0.0838,simple
495,219,sku-Gaming Computer,Gaming Computer,4,2680,0,0.0838,simple
496,220,sku-Netbook,Netbook,3,608.98,0,0.0838,simple
497,221,sku-Computer,Computer,5,1414.96,0,0.0838,simple
498,222,sku-Universal Camera Case,Universal Camera Case,2,38,0,0.0838,simple
499,223,sku-SLR Camera Tripod,SLR Camera Tripod,5,464.96,0,0.0838,simple
500,224,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,6,511,0,0.0838,simple
501,225,sku-Couch,Couch,2,893.99,0,0.0838,simple
502,226,sku-Chair,Chair,4,492.37,0,0.0838,simple
503,227,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,3009.97,0,0.0838,simple
504,228,sku-Tablet,Tablet,5,1316.96,0,0.0838,simple
505,229,sku-E-book,E-book,6,1220.95,0,0.0838,simple
506,230,sku-Mouse,Mouse,6,145.95,0,0.0838,simple
507,231,sku-Phone,Phone,3,1388.98,0,0.0838,simple
508,232,sku-Notebook,Notebook,3,700.98,0,0.0838,simple
509,233,sku-Gaming Computer,Gaming Computer,2,895,0,0.0838,simple
510,234,sku-Netbook,Netbook,4,915.97,0,0.0838,simple
511,235,sku-Computer,Computer,3,709.98,0,0.0838,simple
512,236,sku-Universal Camera Case,Universal Camera Case,2,39,0,0.0838,simple
513,237,sku-SLR Camera Tripod,SLR Camera Tripod,3,234.98,0,0.0838,simple
514,238,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,6,516,0,0.0838,simple
515,239,sku-Couch,Couch,4,2682.97,0,0.0838,simple
516,240,sku-Chair,Chair,3,330.58,0,0.0838,simple
517,241,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,2008.98,0,0.0838,simple
518,242,sku-Tablet,Tablet,2,330.99,0,0.0838,simple
519,243,sku-E-book,E-book,6,1225.95,0,0.0838,simple
520,244,sku-Mouse,Mouse,3,60.98,0,0.0838,simple
521,245,sku-Phone,Phone,5,2780.96,0,0.0838,simple
522,246,sku-Notebook,Notebook,3,702.98,0,0.0838,simple
523,247,sku-Gaming Computer,Gaming Computer,6,4476,0,0.0838,simple
524,248,sku-Netbook,Netbook,5,1224.96,0,0.0838,simple
525,249,sku-Computer,Computer,5,1422.96,0,0.0838,simple
526,250,sku-Universal Camera Case,Universal Camera Case,2,40,0,0.0838,simple
527,251,sku-SLR Camera Tripod,SLR Camera Tripod,2,118.99,0,0.0838,simple
528,252,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,3,209,0,0.0838,simple
529,253,sku-Couch,Couch,6,4475.95,0,0.0838,simple
530,254,sku-Chair,Chair,2,166.79,0,0.0838,simple
531,255,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,3015.97,0,0.0838,simple
532,256,sku-Tablet,Tablet,3,662.98,0,0.0838,simple
533,257,sku-E-book,E-book,3,492.98,0,0.0838,simple
534,258,sku-Mouse,Mouse,6,155.95,0,0.0838,simple
535,259,sku-Phone,Phone,4,2088.97,0,0.0838,simple
536,260,sku-Notebook,Notebook,4,1056.97,0,0.0838,simple
537,261,sku-Gaming Computer,Gaming Computer,6,4481,0,0.0838,simple
538,262,sku-Netbook,Netbook,3,614.98,0,0.0838,simple
539,263,sku-Computer,Computer,2,357.49,0,0.0838,simple
540,264,sku-Universal Camera Case,Universal Camera Case,6,201,0,0.0838,simple
541,265,sku-SLR Camera Tripod,SLR Camera Tripod,6,595.95,0,0.0838,simple
542,266,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,6,526,0,0.0838,simple
543,267,sku-Couch,Couch,3,1792.98,0,0.0838,simple
544,268,sku-Chair,Chair,5,668.16,0,0.0838,simple
545,269,sku-Magento Red Furniture Set,Magento Red Furniture Set,6,5030.95,0,0.0838,simple
546,270,sku-Tablet,Tablet,4,996.97,0,0.0838,simple
547,271,sku-E-book,E-book,2,247.99,0,0.0838,simple
548,272,sku-Mouse,Mouse,3,64.98,0,0.0838,simple
549,273,sku-Phone,Phone,5,2788.96,0,0.0838,simple
550,274,sku-Netbook,Netbook,2,601.98,0,0.0838,simple
551,275,sku-Computer,Computer,2,700.98,0,0.0838,simple
552,276,sku-Universal Camera Case,Universal Camera Case,5,170,0,0.0838,simple
553,1,sku-SLR Camera Tripod,SLR Camera Tripod,3,338.97,0,0.0838,simple
554,2,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,3,297,0,0.0838,simple
555,3,sku-Couch,Couch,4,3559.96,0,0.0838,simple
556,4,sku-Chair,Chair,1,160.79,0,0.0838,simple
557,5,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,3999.96,0,0.0838,simple
558,6,sku-Tablet,Tablet,4,1303.96,0,0.0838,simple
559,7,sku-E-book,E-book,2,481.98,0,0.0838,simple
560,8,sku-Mouse,Mouse,5,129.95,0,0.0838,simple
561,9,sku-Phone,Phone,2,1381.98,0,0.0838,simple
562,10,sku-Notebook,Notebook,3,1040.97,0,0.0838,simple
563,11,sku-Gaming Computer,Gaming Computer,2,1782,0,0.0838,simple
564,12,sku-Netbook,Netbook,3,905.97,0,0.0838,simple
565,13,sku-Computer,Computer,2,702.98,0,0.0838,simple
566,14,sku-Universal Camera Case,Universal Camera Case,2,70,0,0.0838,simple
567,15,sku-SLR Camera Tripod,SLR Camera Tripod,4,455.96,0,0.0838,simple
568,16,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,200,0,0.0838,simple
569,17,sku-Couch,Couch,1,890.99,0,0.0838,simple
570,18,sku-Chair,Chair,5,808.95,0,0.0838,simple
571,19,sku-Magento Red Furniture Set,Magento Red Furniture Set,1,1000.99,0,0.0838,simple
572,20,sku-Tablet,Tablet,2,653.98,0,0.0838,simple
573,21,sku-E-book,E-book,4,967.96,0,0.0838,simple
574,22,sku-Mouse,Mouse,4,107.96,0,0.0838,simple
575,23,sku-Phone,Phone,4,2767.96,0,0.0838,simple
576,24,sku-Notebook,Notebook,1,347.99,0,0.0838,simple
577,25,sku-Gaming Computer,Gaming Computer,4,3568,0,0.0838,simple
578,26,sku-Netbook,Netbook,5,1514.95,0,0.0838,simple
579,27,sku-Computer,Computer,3,1057.47,0,0.0838,simple
580,28,sku-Universal Camera Case,Universal Camera Case,2,72,0,0.0838,simple
581,29,sku-SLR Camera Tripod,SLR Camera Tripod,1,114.99,0,0.0838,simple
582,30,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,1,101,0,0.0838,simple
583,31,sku-Couch,Couch,1,891.99,0,0.0838,simple
584,32,sku-Chair,Chair,3,488.37,0,0.0838,simple
585,33,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,4007.96,0,0.0838,simple
586,34,sku-Tablet,Tablet,5,1639.95,0,0.0838,simple
587,35,sku-E-book,E-book,4,971.96,0,0.0838,simple
588,36,sku-Mouse,Mouse,5,139.95,0,0.0838,simple
589,37,sku-Phone,Phone,5,3464.95,0,0.0838,simple
590,38,sku-Notebook,Notebook,1,348.99,0,0.0838,simple
591,39,sku-Gaming Computer,Gaming Computer,3,2679,0,0.0838,simple
592,40,sku-Netbook,Netbook,2,607.98,0,0.0838,simple
593,41,sku-Computer,Computer,4,1413.96,0,0.0838,simple
594,42,sku-Universal Camera Case,Universal Camera Case,1,37,0,0.0838,simple
595,43,sku-SLR Camera Tripod,SLR Camera Tripod,4,463.96,0,0.0838,simple
596,44,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,510,0,0.0838,simple
597,45,sku-Couch,Couch,1,892.99,0,0.0838,simple
598,46,sku-Chair,Chair,3,491.37,0,0.0838,simple
599,47,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,3008.97,0,0.0838,simple
600,48,sku-Tablet,Tablet,4,1315.96,0,0.0838,simple
601,49,sku-E-book,E-book,5,1219.95,0,0.0838,simple
602,50,sku-Mouse,Mouse,5,144.95,0,0.0838,simple
603,51,sku-Phone,Phone,2,1387.98,0,0.0838,simple
604,52,sku-Notebook,Notebook,2,699.98,0,0.0838,simple
605,53,sku-Gaming Computer,Gaming Computer,1,894,0,0.0838,simple
606,54,sku-Netbook,Netbook,3,914.97,0,0.0838,simple
607,55,sku-Computer,Computer,2,708.98,0,0.0838,simple
608,56,sku-Universal Camera Case,Universal Camera Case,1,38,0,0.0838,simple
609,57,sku-SLR Camera Tripod,SLR Camera Tripod,2,233.98,0,0.0838,simple
610,58,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,515,0,0.0838,simple
611,59,sku-Couch,Couch,3,2681.97,0,0.0838,simple
612,60,sku-Chair,Chair,2,329.58,0,0.0838,simple
613,61,sku-Magento Red Furniture Set,Magento Red Furniture Set,2,2007.98,0,0.0838,simple
614,62,sku-Tablet,Tablet,1,329.99,0,0.0838,simple
615,63,sku-E-book,E-book,5,1224.95,0,0.0838,simple
616,64,sku-Mouse,Mouse,2,59.98,0,0.0838,simple
617,65,sku-Phone,Phone,4,2779.96,0,0.0838,simple
618,66,sku-Notebook,Notebook,2,701.98,0,0.0838,simple
619,67,sku-Gaming Computer,Gaming Computer,5,4475,0,0.0838,simple
620,68,sku-Netbook,Netbook,4,1223.96,0,0.0838,simple
621,69,sku-Computer,Computer,4,1421.96,0,0.0838,simple
622,70,sku-Universal Camera Case,Universal Camera Case,1,39,0,0.0838,simple
623,71,sku-SLR Camera Tripod,SLR Camera Tripod,1,117.99,0,0.0838,simple
624,72,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,208,0,0.0838,simple
625,73,sku-Couch,Couch,5,4474.95,0,0.0838,simple
626,74,sku-Chair,Chair,1,165.79,0,0.0838,simple
627,75,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,3014.97,0,0.0838,simple
628,76,sku-Tablet,Tablet,2,661.98,0,0.0838,simple
629,77,sku-E-book,E-book,2,491.98,0,0.0838,simple
630,78,sku-Mouse,Mouse,5,154.95,0,0.0838,simple
631,79,sku-Phone,Phone,3,2087.97,0,0.0838,simple
632,80,sku-Notebook,Notebook,3,1055.97,0,0.0838,simple
633,81,sku-Gaming Computer,Gaming Computer,5,4480,0,0.0838,simple
634,82,sku-Netbook,Netbook,2,613.98,0,0.0838,simple
635,83,sku-Computer,Computer,1,356.49,0,0.0838,simple
636,84,sku-Universal Camera Case,Universal Camera Case,5,200,0,0.0838,simple
637,85,sku-SLR Camera Tripod,SLR Camera Tripod,5,594.95,0,0.0838,simple
638,86,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,525,0,0.0838,simple
639,87,sku-Couch,Couch,2,1791.98,0,0.0838,simple
640,88,sku-Chair,Chair,4,667.16,0,0.0838,simple
641,89,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,5029.95,0,0.0838,simple
642,90,sku-Tablet,Tablet,3,995.97,0,0.0838,simple
643,91,sku-E-book,E-book,1,246.99,0,0.0838,simple
644,92,sku-Mouse,Mouse,2,63.98,0,0.0838,simple
645,93,sku-Phone,Phone,4,2787.96,0,0.0838,simple
646,94,sku-Notebook,Notebook,4,1411.96,0,0.0838,simple
647,95,sku-Gaming Computer,Gaming Computer,2,1794,0,0.0838,simple
648,96,sku-Netbook,Netbook,1,307.99,0,0.0838,simple
649,97,sku-Computer,Computer,3,1072.47,0,0.0838,simple
650,98,sku-Universal Camera Case,Universal Camera Case,2,82,0,0.0838,simple
651,99,sku-SLR Camera Tripod,SLR Camera Tripod,2,239.98,0,0.0838,simple
652,100,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,212,0,0.0838,simple
653,101,sku-Couch,Couch,3,2690.97,0,0.0838,simple
654,102,sku-Chair,Chair,4,671.16,0,0.0838,simple
655,103,sku-Magento Red Furniture Set,Magento Red Furniture Set,1,1006.99,0,0.0838,simple
656,104,sku-Tablet,Tablet,2,665.98,0,0.0838,simple
657,105,sku-E-book,E-book,4,991.96,0,0.0838,simple
658,106,sku-Mouse,Mouse,2,65.98,0,0.0838,simple
659,107,sku-Phone,Phone,4,2791.96,0,0.0838,simple
660,108,sku-Notebook,Notebook,5,1769.95,0,0.0838,simple
661,109,sku-Gaming Computer,Gaming Computer,3,2694,0,0.0838,simple
662,110,sku-Netbook,Netbook,5,1544.95,0,0.0838,simple
663,111,sku-Computer,Computer,4,1433.96,0,0.0838,simple
664,112,sku-Universal Camera Case,Universal Camera Case,2,84,0,0.0838,simple
665,113,sku-SLR Camera Tripod,SLR Camera Tripod,2,241.98,0,0.0838,simple
666,114,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,214,0,0.0838,simple
667,115,sku-Couch,Couch,3,2693.97,0,0.0838,simple
668,116,sku-Chair,Chair,5,843.95,0,0.0838,simple
669,117,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,5039.95,0,0.0838,simple
670,118,sku-Tablet,Tablet,3,1001.97,0,0.0838,simple
671,119,sku-E-book,E-book,2,497.98,0,0.0838,simple
672,120,sku-Mouse,Mouse,3,101.97,0,0.0838,simple
673,121,sku-Phone,Phone,3,2096.97,0,0.0838,simple
674,122,sku-Notebook,Notebook,4,1419.96,0,0.0838,simple
675,123,sku-Gaming Computer,Gaming Computer,1,899,0,0.0838,simple
676,124,sku-Netbook,Netbook,5,1549.95,0,0.0838,simple
677,125,sku-Computer,Computer,1,359.49,0,0.0838,simple
678,126,sku-Universal Camera Case,Universal Camera Case,3,129,0,0.0838,simple
679,127,sku-SLR Camera Tripod,SLR Camera Tripod,3,365.97,0,0.0838,simple
680,128,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,1,108,0,0.0838,simple
681,129,sku-Couch,Couch,3,2696.97,0,0.0838,simple
682,130,sku-Chair,Chair,4,679.16,0,0.0838,simple
683,131,sku-Magento Red Furniture Set,Magento Red Furniture Set,1,1008.99,0,0.0838,simple
684,132,sku-Tablet,Tablet,5,1674.95,0,0.0838,simple
685,133,sku-E-book,E-book,4,999.96,0,0.0838,simple
686,134,sku-Mouse,Mouse,5,174.95,0,0.0838,simple
687,135,sku-Phone,Phone,5,3499.95,0,0.0838,simple
688,136,sku-Notebook,Notebook,5,1779.95,0,0.0838,simple
689,137,sku-Gaming Computer,Gaming Computer,5,4500,0,0.0838,simple
690,138,sku-Netbook,Netbook,2,621.98,0,0.0838,simple
691,139,sku-Computer,Computer,1,360.49,0,0.0838,simple
692,140,sku-Universal Camera Case,Universal Camera Case,4,176,0,0.0838,simple
693,141,sku-SLR Camera Tripod,SLR Camera Tripod,2,245.98,0,0.0838,simple
694,142,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,545,0,0.0838,simple
695,143,sku-Couch,Couch,2,1799.98,0,0.0838,simple
696,144,sku-Chair,Chair,2,341.58,0,0.0838,simple
697,145,sku-Magento Red Furniture Set,Magento Red Furniture Set,2,2019.98,0,0.0838,simple
698,146,sku-Tablet,Tablet,5,1679.95,0,0.0838,simple
699,147,sku-E-book,E-book,3,752.97,0,0.0838,simple
700,148,sku-Mouse,Mouse,5,179.95,0,0.0838,simple
701,149,sku-Phone,Phone,4,2803.96,0,0.0838,simple
702,150,sku-Notebook,Notebook,1,356.99,0,0.0838,simple
703,151,sku-Gaming Computer,Gaming Computer,5,4505,0,0.0838,simple
704,152,sku-Netbook,Netbook,5,1559.95,0,0.0838,simple
705,153,sku-Computer,Computer,3,1084.47,0,0.0838,simple
706,154,sku-Universal Camera Case,Universal Camera Case,2,90,0,0.0838,simple
707,155,sku-SLR Camera Tripod,SLR Camera Tripod,3,371.97,0,0.0838,simple
708,156,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,5,550,0,0.0838,simple
709,157,sku-Couch,Couch,3,2702.97,0,0.0838,simple
710,158,sku-Chair,Chair,2,343.58,0,0.0838,simple
711,159,sku-Magento Red Furniture Set,Magento Red Furniture Set,3,3032.97,0,0.0838,simple
712,160,sku-Tablet,Tablet,1,336.99,0,0.0838,simple
713,161,sku-E-book,E-book,2,503.98,0,0.0838,simple
714,162,sku-Mouse,Mouse,1,36.99,0,0.0838,simple
715,163,sku-Phone,Phone,1,701.99,0,0.0838,simple
716,164,sku-Notebook,Notebook,3,1073.97,0,0.0838,simple
717,165,sku-Gaming Computer,Gaming Computer,4,3608,0,0.0838,simple
718,166,sku-Netbook,Netbook,3,938.97,0,0.0838,simple
719,167,sku-Computer,Computer,1,362.49,0,0.0838,simple
720,168,sku-Universal Camera Case,Universal Camera Case,3,138,0,0.0838,simple
721,169,sku-SLR Camera Tripod,SLR Camera Tripod,4,499.96,0,0.0838,simple
722,170,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,222,0,0.0838,simple
723,171,sku-Couch,Couch,5,4509.95,0,0.0838,simple
724,172,sku-Chair,Chair,4,691.16,0,0.0838,simple
725,173,sku-Notebook,Notebook,6,1730.95,0,0.0838,simple
726,174,sku-Gaming Computer,Gaming Computer,3,1781,0,0.0838,simple
727,175,sku-Netbook,Netbook,3,602.98,0,0.0838,simple
728,176,sku-Computer,Computer,3,701.98,0,0.0838,simple
729,177,sku-Universal Camera Case,Universal Camera Case,6,171,0,0.0838,simple
730,178,sku-SLR Camera Tripod,SLR Camera Tripod,4,339.97,0,0.0838,simple
731,179,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,4,298,0,0.0838,simple
732,180,sku-Couch,Couch,5,3560.96,0,0.0838,simple
733,181,sku-Chair,Chair,2,161.79,0,0.0838,simple
734,182,sku-Magento Red Furniture Set,Magento Red Furniture Set,5,4000.96,0,0.0838,simple
735,183,sku-Tablet,Tablet,5,1304.96,0,0.0838,simple
736,184,sku-E-book,E-book,3,482.98,0,0.0838,simple
737,185,sku-Mouse,Mouse,6,130.95,0,0.0838,simple
738,186,sku-Phone,Phone,3,1382.98,0,0.0838,simple
739,187,sku-Notebook,Notebook,4,1041.97,0,0.0838,simple
740,188,sku-Gaming Computer,Gaming Computer,3,1783,0,0.0838,simple
741,189,sku-Netbook,Netbook,4,906.97,0,0.0838,simple
742,190,sku-Computer,Computer,3,703.98,0,0.0838,simple
743,191,sku-Universal Camera Case,Universal Camera Case,3,71,0,0.0838,simple
744,192,sku-SLR Camera Tripod,SLR Camera Tripod,5,456.96,0,0.0838,simple
745,193,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,3,201,0,0.0838,simple
746,194,sku-Couch,Couch,2,891.99,0,0.0838,simple
